# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	0	255	255
20	textures\misc.png	176	224	248

30	textures\tiles.png	255	128	192
40	textures\enemies.png	163	73	164
50	textures\enemies-2.png	0	128	128
60	textures\enemies-2NGUOC.png	0	130	130

# id	left	top	right	bottom	texture_id
[SPRITES]


#============== Đường ================
20001	222	222	238	238	30
20002	239	222	255	238	30
20003	256	222	272	238	30


20004	426	256	442	272	30
20005	443	256	459	272	30

20006	426	239	442	255	30
20007	443	239	459	255	30

#==== quả bóng
20008	677	196	685	205	40
20009	688	197	696	205	40
20010	699	196	707	205	40
20011	709	196	718	205	40

#răng
20012	222	171	238	187	30

#============= BỤI CÂY ===============
#width 15 height 16
70001	138	1	153	17	30
70002	154	1	169	17	30
#width 16 height 16
70003	137	18	153	34	30
70004	154	18	170	34	30
70005	137	35	153	51	30
70006	154	35	170	51	30
70007	137	52	153	68	30

#=====goomba=========
40001	598	812	616	826	40
40002	617	812	635	826	40
40003	35	351	51	360	40

#đồng xu+=========+++=++=
1141	294	101	302	115	20
1142	311	101	312	115	20
1143	321	101	325	115	20
1144	334	100	348	116	20
1145	357	100	363	116	20



#========== MARIO LỚN ===============
# Đứng yên bên phải
10001	197	48	211	75	0
# Đi
10002	214	48	230	75	0		
10003	233	49	249	75	0
# Đứng yên trái
10011	1469	47	1483	74	0
# Đi bên trái
10012	1450	47	1466	74	0
10013	1431	48	1447	74	0
# Chết
10099	402	8	418	24	0
# Ngừng phải
05001	451	48	466	75	0
# Ngừng trái
05015	1214	47	1229	74	0

# Nhảy phải
08014	271	49	287	75	0
# Nhảy trái
08002	1393	48	1409	74	0

# Đá phải
08015	488	48	509	75	0

# Đá trái
08001	1171	47	1192	74	0

#Ngồi phải
1000001	379	57	393	75	0

#Ngồi trái
1000002	1287	56	1301	74	0	

#Cầm rùa phải:
44006	451	48	466	75	0
44007	469	49	485	75	0

#cầm rùa trái:
44008	1214	47	1229	74	0
44009	1195	48	1211	74	0

#============== MARIO NHỎ ===============
# Đứng yên phải
10021	259	9	271	24	0
# Đi phải
10022	274	8	289	24	0
10023	346	8	362	24	0
# Đứng yên trái
10031	1409	8	1421	23	0
# Đi trái
10032	1391	7	1406	23	0
10033	1318	7	1334	23	0
# Nhảy phải
3013	309	8	325	24	0
# Nhảy trái
3002	1355	7	1371	23	0
# Ngừng bên phải
01001	6	0	26	14	0
# Ngừng bên trái
01015	426	0	440	16	0
#Nhảy Phải
#01016	309	8
	
# cầm rùa phải
44001	421	8	435	24	0
44002	438	8	453	24	0

#cầm rùa trái
44004	1245	7	1259	23	0
44005	1227	7	1242	23	0



#=================MARIO LỬA =============
# Đứng yên phải
11009	206	109	220	136	0

# Đi phải
11010	223	109	239	136	0
11011	242	110	258	136	0


# Đứng yên trái
11007	1460	108	1474	135	0


# Đi trái
11006	1441	108	1457	135	0
11005	1422	109	1438	135	0

# Nhảy phải
14002 	314	110	330	136	0

# Nhảy trái
14014	1350 	109	1366	135	0

# Ngừng phải
11001	5	394	21	422	0

# Ngừng trái
11015	425	394	441	422	0
	

#============= MARIO ĐUÔI ==============
# Đứng yên phải
17009	566	142	587	170	0
# Đi phải 
11110	104	142	126	170	0
11111	129	143	152	170	0

# Đứng yên trái

17007	1093	141	1114	169	0
# cầm rùa trái
17006	1068	141	1090	169	0
17005	1042	142	1065	169	0
# Nhảy phải
20014	257	143	280	170	0

# Nhảy trái
200002	1400	142	1423	169	0

# Ngừng phải 
17001	5 	633	21	663	0

# Ngừng trái
17015	425	633	441	663	0

#Ngồi phải
170009	522	152	544	170	0
#Ngồi trái
1700010	1136	151	1158	169	0

#bay phải:
1700011	441	143	465	170	0
1700012	468	143	492	170	0
1700013	495	142	519	170	0

#bay trái:
1700014	1215	142	1239	169	0
1700015	1188	142	1212	169	0
1700016	1161	141	1185	169	0

#đi trái:
44010	1374	142	1397	169	0
44011	1348	142	1371	169	0

# cầm rùa phải
44012	566	142	587	170	0
44013	590	142	612	170	0

#=====xoay=====
1700017	174	142	190	170	0



#============ MARIO LỬA ================
# Đứng yên phải
11009	206	109	220	136	0

# Đi phải
11010	223	109	239	136	0
11011	242	110	258	136	0

# Đứng yên trái
11007	1460	108	1474	135	0


# Đi trái
11006	1441	108	1457	135	0
11005	1422	109	1438	135	0

# Nhảy phải
14002 	314	110	330	136	0

# Nhảy trái
14014	1350	109	1366	135	0

# Ngừng phải
11001	477	109	491	136	0

# Ngừng trái
11015	1189	108	1203	135	0

#cầm rùa phải
44014	494	109	509	136	0
44015	512	110	528	136	0

#cầm rùa trái
44016	1171	108	1186	135	0
44017	1152	109	1168	135	0

#=======gạch câu hỏi========
3001	157	188	173	204	20
30002	176	188	192	204	20
3003	196	188	212	204	20
3004	235	188	251	204	20

#======= Gạch có thể vỡ========
50070	274	188	290	204	20
50071	293	188	309	204	20
50072	312	188	328	204	20
50073	331	188	347	204	20

#=== =====RÙA ĐỎ ===
# Đi trái
60060	222	164	238	190	50
60061	205	163	221	190	50

# Đi phải

# Chết
# Hồi sinh
60040	213	225	267	309	60


#=========== CÂY nhỏ====================
80001	222	205	238	221	30

#=== MÂY (left to right, top to bottom) ====
# width 16, height 15
90061	188	189	204	204	30
90062	205	189	221	204	30
# width 15, height 8
90063	189	205	204	213	30
# width 15, height 7
90064	205	205	220	212	30

# Gạch màu hồng (từ dưới lên)
50020	1	86	17	102	30
50021	18	86	34	102	30
50022	35	86	51	102	30
50023	1	69	17	85	30
50024	18	69	34	85	30
50025	35	69	51	85	30
50026	1	52	17	68	30
50027	18	52	34	68	30
50028	35	52	51	68	30

# Gạch màu xanh dương (từ dưới lên)
50030	52	86	68	102	30
50031	69	86	85	102	30
50032	86	86	102	102	30
50033	52	69	68	85	30
50034	69	69	85	85	30
50035	86	69	102	85	30
50036	52	52	68	68	30
50037	69	52	85	68	30
50038	86	52	102	68	30

#ong khoi co cay
					
50040	427	188	442	204	30
50041	443	188	459	204	30
50042	460	188	475	204	30
50043	426	171	442	187	30
50044	443	171	459	187	30
50045	460	171	475	187	30
50046	426	154	442	170	30
50047	443	154	459	170	30
50048	460	154	475	170	30

# Gạch màu xanh lá (từ dưới lên)
50050	52	35	68	51	30
50051	69	35	85	51	30
50052	86	35	102	51	30
50053	52	18	68	34	30
50054	69	18	85	34	30
50055	86	18	102	34	30
50056	52	1	68	17	30
50057	69	1	85	17	30
50058	86	1	102	17	30

#============= BÓNG ĐEN =================
#width 8 height 8
90011	103	103	111	111	30
#width 8 height 16
90012	103	86	111	102	30
#width 8 height 8
90013	103	77	111	85	30

# Gạch màu trắng (từ dưới lên)
500040	1	35	17	51	30
500041	18	35	34	51	30
500042	35	35	51	51	30
500043	1	18	17	34	30
500044	18	18	34	34	30
500045	35	18	51	34	30
500046	1	1	17	17	30
500047	18	1	34	17	30
500048	35	1	51	17	30

# cục gạch cứng
500081	324	171	340	187	30

#=== RÙA ĐỎ ===
# Đi trái
60060	222	164	238	190	50
60061	205	163	221	190	50

# Đi phải
60062	296	164	312	190	60
60063	313	163	329	190	60
	
# Chết
60064	279	174	295	190	60
# Hồi sinh
60065	228	174	244	190	60
60066	245	174	261	190	60
60067	262	174	278	190	60	

#hoa nhìn trái
40010	290	91	306	123	50
40011	273	91	289	123	50

#hoa nhìn phải
40012	228	91	244	123	60
40013	245	91	261	123	60


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]



# ==== Đường =========
601	20001	100
602	20002	100
603	20003	100

604	20004	100
605	20005	100

606	20006	100
607	20007	100

#======đồng xu====+++++++++

1141	1141	100	1142	100	1143	100	1144	100	1145	100

# ==== BỤI CÂY ====
# Lần lượt trên xuống
1001	70001	100
1002	70002	100
1003	70003	100
1004	70004	100
1005	70005	100
1006	70006	100
1007	70007	100

# ===== CÂY ====
1051	80001	100

#quả bóng:
208	20008	100	20009	1000	20010	100	20011	100

#răng
209	20012	100

#goomba
40	40001	100	40002	100
41	40003	100

#===== GẠCH VỠ ==== 
670	50070	200	50071	200	50072	200	50073	200
						

# ==== MARIO =========
# Đứng yên phải
400	10001	100
# Đứng yên trái
401	10011	100
# Nhỏ đứng yên phải
402	10021	100
# Nhỏ đứng yên trái
403	10031	100
# Lớn đi bộ phải
500	10001	60	10002	60	10003	60
# Lớn đi bộ trái
501	10011	50	10012	50	10013	50
# Nhỏ đi bộ phải
502	10021	100	10022	100	10023	100
# Nhỏ đi bộ trái
503	10031	100	10032	100	10033	100
# Chết
599	10099	100
# Lớn dừng phải
504	05001	100
# Lớn dừng trái
505	05015	100
# Lớn nhảy phải
506	08014	500
# Lớn nhảy trái
507 	08002	500
# Nhỏ nhảy phải
508	3013	100
# Nhỏ nhảy trái
509	3002	100
# Lớn đá phải
510	08001	200
# Lớn đá trái
511	08015	200
# Nhỏ ngừng phải
512	01001	100
# Nhỏ ngừng trái
513	01015	100

#lớn ngồi phải
4000	1000001	100
4001	1000002	100

#nhỏ cầm rùa trái:
440001	44001	100	44002	100

#nhỏ cầm rùa phải
440002	44004	100	44005	100

#lớn cầm rùa phải
440003	44006	100	44007	100
440004	44008	100	44009	100



#========== MARIO ĐUÔI ============
# Đứng yên phải
550	17009	100
# Đứng yên trái
551	17007	100
# Đi bộ phải
560	11110	100	11111	100
# Đi bộ trái
561	17006	100	17005	100
# Nhảy phải
562	20014	100
# Nhảy trái
563	200002	100
# Đứng yên phải
564	17001	100
# Đứng yên trái
565	17015	100

#ngồi phải
17009	170009	100

#ngồi trái
170010	1700010	100

#bay phải:
170011	1700011	100	1700012	100	1700013	100
170012	1700014	100	1700015	100	1700016	100

#đi trái
440005	44010	100	44011	100
#cầm rùa phải
440006	44012	100	44013	100


# ========= MARIO LỬA ===========
# Lửa đứng yên phải
530	11009	100
# Lửa đứng yên trái
531	11007	100
# Đi bộ phải
5040	11010	100	11011	100
# Đi bộ trái
5041	11006	100	11005	100
# Nhảy phải
5042	14002	100
# Nhảy trái
5043	14014	100
# Ngừng phải
